Dealership,Address,City,State,Zip,Website,url_active,last_checked
"BILL SMITH BUICK-GMC, INC.",1940 SECOND AVE NW,CULLMAN,AL,35055,billsmithbuickgmc.com,True,2025-03-10
BILLY BYRD KIA DOTHAN,4083 ROSS CLARK CIR,DOTHAN,AL,36303,,False,2025-03-10
BILLY LAWRENCE BUICK GMC INC,525 KIRKLAND ST,ABBEVILLE,AL,36310,billylawrencegmc.com,True,2025-03-10
"BILLY LAWRENCE BUICK GMC, INC.",525 KIRKLAND ST,ABBEVILLE,AL,36310,billylawrencegmc.com,True,2025-03-10
"BILLY LAWRENCE CHEVROLET, INC.",3220 S EUFAULA AVE,EUFAULA,AL,36027,billylawrenceChevrolet.com,True,2025-03-10
BIRMINGHAM SUBARU,1501 CENTER POINT PKWY,BIRMINGHAM,AL,35215,www.birmingham.subaru.com,False,2025-03-10
BMW OF MOBILE,3025 GOVERNMENT BLVD,MOBILE,AL,36606,www.gradybmw.com,False,2025-03-10
BMW OF MONTGOMERY,190 EASTERN BLVD,MONTGOMERY,AL,36117,bmwofmontgomery.com,True,2025-03-10
"BOB HEMBREE CHEVROLET, INC.",11982 US HWY 431,GUNTERSVILLE,AL,35976,bobhembree.com,False,2025-03-10
BONDY'S ENTERPRISE TOYOTA,"519 BOLL WEEVIL CIRCLE,",ENTERPRISE,AL,36330,bondystoyota.com,False,2025-03-10
BONDY'S FORD LINCOLN,3615 ROSS CLARK CIRCLE,DOTHAN,AL,36303,bondysford.com,False,2025-03-10
BONDYS NISSAN,3693 W MAIN ST,DOTHAN,AL,36305,www.bondysnissan.com,True,2025-03-10
BRAMLETT BUICK GMC,3305 HWY US 31 S,DECATUR,AL,35603,bramlettautomotive.com,False,2025-03-10
BRANNON HONDA,300 GADSDEN HWY,BIRMINGHAM,AL,35235,brannonhonda.com,False,2025-03-10
BREWBAKER CHRYSLER DODGE JEEP,300 EASTERN BLVD,MONTGOMERY,AL,36117,brewbakerdodgechryslerjeep.com,False,2025-03-10
BREWBAKER DODGE,27161 US HIGHWAY 98,DAPHNE,AL,36526,cdj.brewbakerauto.com/,False,2025-03-10
BREWBAKER INFINITI,220 EASTERN BLVD,MONTGOMERY,AL,36117,infiniti.brewbakerauto.com,False,2025-03-10
BREWBAKER KIA,222 EASTERN BLVD,MONTGOMERY,AL,36117,kia.brewbakerauto.com,False,2025-03-10
"BUSTER MILES CHEVROLET, INC.",1884 ALMON ST,HEFLIN,AL,36264,bustermiles-chevy.com,True,2025-03-10
BUSTER MILES FORD,1880 ALMON STREET JUST OFF OF I-20 EXIT 199,HEFLIN,AL,36264,bustermilesford.com,False,2025-03-10
CADILLAC OF BIRMINGHAM LLC,1677 MONTGOMERY HWY,BIRMINGHAM,AL,35216,cadillacofbirmingham.com,True,2025-03-10
CAPITOL CHEVROLET,711 EASTERN BLVD,MONTGOMERY,AL,36117,capitolChevroletmontgomery.com,False,2025-03-10
CARL CANNON CADILLAC,299 CARL CANNON BLVD,JASPER,AL,35501,carlcannon.com,True,2025-03-10
CARL CANNON CHEVROLET CADILLAC BUICK GMC,299 CARL CANNON BLVD,JASPER,AL,35501,carlcannon.com,True,2025-03-10
CENTURY AUTO,3800 UNIVERSITY DR NW,HUNTSVILLE,AL,35816,centuryauto.com,True,2025-03-10
